Country,ISO,Year,CO2,Per_Capita_CO2,Renewable_Electricity_Share,GDP_Growth,Carbon_Rate_2023,comp_CO2,comp_PerCap,comp_RenewWeak,comp_GDPWeak,comp_PolicyWeak,Risk_Score,Risk_Category,Flag_Renewable_Imputed,Flag_GDP_Imputed,Flag_CarbonRate_Imputed
Aruba,ABW,2021,0.858126,8.054722,16.129034,27.6,,22.973,83.7838,67.5676,0.9009,60.8108,46.76,Moderate,False,False,True
Afghanistan,AFG,2021,11.874211,0.296119,84.33735,-20.7,,54.5045,12.1622,8.5586,100.0,60.8108,42.0,Moderate,False,False,True
Angola,AGO,2021,21.362717,0.619141,71.81984,1.2,,62.6126,20.7207,16.6667,86.9369,60.8108,46.22,Moderate,False,False,True
Anguilla,AIA,2021,0.144744,9.188354,,,,6.7568,88.2883,50.0,50.2252,60.8108,45.8,Moderate,True,True,True
Albania,ALB,2021,4.619109,1.618066,100.0,8.9,,38.7387,34.6847,0.9009,13.7387,60.8108,26.93,Low,False,False,True
Andorra,AND,2021,0.452888,5.730292,,8.3,,15.7658,74.7748,50.0,15.7658,60.8108,40.63,Moderate,True,False,True
United Arab Emirates,ARE,2021,204.086658,21.792151,4.93991,4.4,,87.3874,97.7477,81.5315,63.7387,60.8108,81.79,Very High,False,False,True
Argentina,ARG,2021,186.448284,4.117967,25.347696,10.7,9.1290312,86.4865,61.7117,55.4054,10.5856,23.4234,56.07,High,False,False,False
Armenia,ARM,2021,6.806045,2.438591,31.284153,5.7,,44.1441,45.045,40.5405,37.6126,60.8108,44.11,Moderate,False,False,True
Antarctica,ATA,2021,0.0,0.0,,,,0.6757,0.6757,50.0,50.2252,60.8108,26.45,Low,True,True,True
Antigua and Barbuda,ATG,2021,0.468695,5.027895,5.714286,6.6,,16.2162,69.8198,79.2793,27.2523,60.8108,48.82,Moderate,False,False,True
Australia,AUS,2021,391.187411,15.091473,29.134624,5.2,20.383238,93.2432,95.9459,43.6937,42.3423,17.5676,66.19,High,False,False,False
Austria,AUT,2021,64.625588,7.24333,78.790146,4.6,85.875618,77.4775,80.1802,13.5135,61.2613,5.8559,52.43,Moderate,False,False,False
Azerbaijan,AZE,2021,38.492804,3.732457,5.4012933,5.6,,71.6216,55.8559,81.0811,38.964,60.8108,64.85,High,False,False,True
Burundi,BDI,2021,0.692908,0.055206,66.666664,3.1,,21.1712,3.1532,18.4685,76.1261,60.8108,29.1,Low,False,False,True
Belgium,BEL,2021,95.722285,8.243806,22.95264,6.3,82.957512,82.4324,85.1351,59.009,31.3063,6.3063,61.84,High,False,False,False
Benin,BEN,2021,7.755815,0.596744,4.166667,7.2,,48.1982,19.8198,83.7838,22.2973,60.8108,48.8,Moderate,False,False,True
"Bonaire, Saint Eustatius and Saba",BES,2021,0.103389,3.871365,,,,5.8559,57.6577,50.0,50.2252,60.8108,39.4,Moderate,True,True,True
Burkina Faso,BFA,2021,5.698262,0.257832,13.142858,6.9,-22.671375,41.8919,11.2613,70.2703,25.4505,97.7477,45.98,Moderate,False,False,False
Bangladesh,BGD,2021,93.175944,0.550177,1.7252079,6.9,-0.0017498475,81.5315,18.018,86.9369,25.4505,94.1441,63.03,High,False,False,False
Bulgaria,BGR,2021,42.56021,6.180805,21.79704,7.6,60.509453,73.8739,77.9279,60.8108,19.3694,11.7117,57.03,High,False,False,False
Bahrain,BHR,2021,39.016088,26.66372,0.031486146,2.6,,72.0721,99.5495,90.991,78.6036,60.8108,82.15,Very High,False,False,True
Bahamas,BHS,2021,2.386463,5.850522,0.0,17.0,,32.4324,75.6757,95.9459,2.2523,60.8108,55.27,High,False,False,True
Bosnia and Herzegovina,BIH,2021,13.566311,4.147523,41.369392,7.4,,56.7568,62.1622,31.5315,20.9459,60.8108,46.57,Moderate,False,False,True
Belarus,BLR,2021,59.602457,6.222741,2.9860954,2.3,,77.027,78.3784,84.6847,80.6306,60.8108,78.13,Very High,False,False,True
Belize,BLZ,2021,0.689321,1.72317,40.625,15.2,,20.7207,36.036,31.982,3.1532,60.8108,27.97,Low,False,False,True
Bermuda,BMU,2021,0.54796,8.537196,,,,17.5676,86.036,50.0,50.2252,60.8108,48.59,Moderate,True,True,True
Bolivia,BOL,2021,23.321669,1.930686,41.737488,6.1,,63.5135,38.7387,31.0811,33.3333,60.8108,45.65,Moderate,False,False,True
Brazil,BRA,2021,488.88107,2.281014,76.7711,5.0,0.43982789,95.045,42.7928,14.4144,50.2252,27.4775,50.96,Moderate,False,False,False
Barbados,BRB,2021,1.125301,4.001781,7.476635,-0.2,,24.3243,59.9099,77.9279,91.8919,60.8108,58.63,High,False,False,True
Brunei Darussalam,BRN,2021,10.480519,23.532003,0.0,-1.6,,52.2523,98.1982,95.9459,95.045,60.8108,79.64,Very High,False,False,True
Bhutan,BTN,2021,1.522086,1.957702,100.0,-3.3,,26.5766,39.1892,0.9009,97.2973,60.8108,36.71,Moderate,False,False,True
Botswana,BWA,2021,6.499919,2.51115,0.456621,11.9,,43.2432,45.9459,87.8378,7.2072,60.8108,51.28,Moderate,False,False,True
Central African Republic,CAF,2021,0.227296,0.041651,100.0,1.0,,10.8108,2.7027,0.9009,88.7387,60.8108,23.4,Low,False,False,True
Canada,CAN,2021,545.634517,14.300468,68.16998,5.0,42.006371,95.4955,93.6937,17.5676,50.2252,14.4144,60.75,High,False,False,False
Switzerland,CHE,2021,34.931692,4.019107,66.05731,5.4,168.77026,68.4685,60.3604,19.8198,40.5405,0.0,43.65,Moderate,False,False,False
Chile,CHL,2021,85.446923,4.383426,42.706417,11.7,36.768517,80.6306,64.8649,29.7297,7.6577,14.8649,47.23,Moderate,False,False,False
China,CHN,2021,11472.369171,8.045741,28.907642,8.4,,100.0,83.3333,44.1441,14.8649,60.8108,66.01,High,False,False,True
Côte d'Ivoire,CIV,2021,11.706642,0.426033,30.145721,7.0,,54.0541,15.7658,42.3423,23.8739,60.8108,39.62,Moderate,False,False,True
Cameroon,CMR,2021,9.297284,0.341829,62.36025,3.6,,50.4505,12.6126,22.973,69.8198,60.8108,39.95,Moderate,False,False,True
Democratic Republic of the Congo,COD,2021,2.606688,0.027183,99.728264,6.2,,32.8829,1.8018,3.6036,32.2072,60.8108,22.04,Low,False,False,True
Congo,COG,2021,7.464369,1.279064,24.129353,1.1,,46.3964,31.0811,56.3063,87.6126,60.8108,53.43,Moderate,False,False,True
Cook Islands,COK,2021,0.091403,5.375721,40.0,,,5.4054,72.5225,33.3333,50.2252,60.8108,38.07,Moderate,False,True,True
Colombia,COL,2021,91.70338,1.780076,73.649734,11.0,-9.1831169,81.0811,36.4865,15.3153,9.4595,97.2973,46.6,Moderate,False,False,False
Comoros,COM,2021,0.298171,0.362904,0.0,2.1,,13.0631,13.964,95.9459,82.2072,60.8108,49.11,Moderate,False,False,True
