Country,ISO,Year,CO2,Per_Capita_CO2,Renewable_Electricity_Share,GDP_Growth,Carbon_Rate_2023,comp_CO2,comp_PerCap,comp_RenewWeak,comp_GDPWeak,comp_PolicyWeak,Risk_Score,Risk_Category,Flag_Renewable_Imputed,Flag_GDP_Imputed,Flag_CarbonRate_Imputed
Croatia,HRV,2021,17.701451,4.359818,69.64286,13.1,69.537514,58.5586,64.4144,17.1171,4.955,8.5586,36.33,Moderate,False,False,False
Haiti,HTI,2021,2.875923,0.251226,13.131313,-1.8,,34.2342,10.8108,70.7207,95.4955,60.8108,50.52,Moderate,False,False,True
Hungary,HUN,2021,48.454619,4.990287,19.215796,7.2,55.361725,74.3243,68.9189,64.8649,22.2973,12.6126,56.9,High,False,False,False
Indonesia,IDN,2021,619.277533,2.262175,18.188877,3.7,-4.9794583,96.3964,42.3423,65.3153,68.9189,95.4955,73.6,High,False,False,False
India,IND,2021,2709.683625,1.925088,19.384392,9.1,8.093874,99.0991,38.2883,63.964,13.0631,24.3243,57.77,High,False,False,False
Ireland,IRL,2021,37.540329,7.528353,36.772152,15.1,59.683121,70.7207,81.0811,36.036,3.6036,12.1622,48.2,Moderate,False,False,False
Iran,IRN,2021,748.878752,8.517397,4.664096,4.7,,97.7477,85.5856,82.4324,59.4595,60.8108,82.05,Very High,False,False,True
Iraq,IRQ,2021,185.580695,4.262931,5.4287477,1.6,,86.036,63.964,80.6306,84.4595,60.8108,77.51,Very High,False,False,True
Iceland,ISL,2021,3.374964,9.113272,99.98653,4.5,96.711327,35.5856,87.8378,2.2523,62.8378,3.1532,38.55,Moderate,False,False,False
Israel,ISR,2021,54.528532,6.126761,6.7870827,9.3,71.327499,75.2252,77.027,78.3784,12.6126,8.1081,60.27,High,False,False,False
Italy,ITA,2021,328.68732,5.548371,40.619434,7.0,110.8419,92.3423,73.8739,32.4324,23.8739,0.9009,54.26,Moderate,False,False,False
Jamaica,JAM,2021,7.689743,2.719439,16.32184,4.6,32.713001,47.7477,48.6486,67.1171,61.2613,16.2162,51.64,Moderate,False,False,False
Jordan,JOR,2021,25.593717,2.295755,23.537477,2.2,,64.4144,43.6937,57.6577,81.3063,60.8108,60.75,High,False,False,True
Japan,JPN,2021,1067.398435,8.565739,22.610664,2.2,5.7487206,98.1982,86.4865,59.4595,81.3063,25.6757,76.39,Very High,False,False,False
Kazakhstan,KAZ,2021,276.68346,14.413251,12.438683,4.1,-25.821585,89.6396,94.1441,72.5225,65.991,98.6486,83.61,Very High,False,False,False
Kenya,KEN,2021,19.875403,0.374968,91.71598,7.6,13.884295,59.9099,14.4144,6.7568,19.3694,20.7207,27.52,Low,False,False,False
Kyrgyzstan,KGZ,2021,9.308101,1.425929,89.84105,5.5,4.2888875,50.9009,32.8829,8.1081,39.8649,26.1261,32.47,Low,False,False,False
Cambodia,KHM,2021,19.028598,1.14706,52.93441,3.0,,59.4595,29.2793,26.1261,77.027,60.8108,47.86,Moderate,False,False,True
Kiribati,KIR,2021,0.071533,0.555062,0.0,7.9,,4.955,18.4685,95.9459,17.7928,60.8108,37.92,Moderate,False,False,True
Saint Kitts and Nevis,KNA,2021,0.237794,4.995041,4.5454545,-0.9,,11.2613,69.3694,82.8829,93.2432,60.8108,58.04,High,False,False,True
South Korea,KOR,2021,616.074996,11.886424,7.7737374,4.3,27.350367,95.9459,90.991,76.5766,64.6396,17.1171,77.53,Very High,False,False,False
Kosovo,KSV,2021,5.644358,3.396106,,10.7,,41.4414,54.0541,50.0,10.5856,60.8108,43.41,Moderate,True,False,True
Kuwait,KWT,2021,106.134264,24.972098,0.070204996,1.1,,83.3333,99.0991,90.0901,87.6126,60.8108,86.57,Very High,False,False,True
Laos,LAO,2021,20.7775,2.798295,72.95471,2.1,,60.8108,49.5495,15.7658,82.2072,60.8108,50.51,Moderate,False,False,True
Lebanon,LBN,2021,24.958901,4.462819,5.639281,-10.0,,63.964,65.3153,79.7297,98.6486,60.8108,73.06,High,False,False,True
Liberia,LBR,2021,1.19526,0.230149,57.608692,5.0,,24.7748,9.9099,24.7748,50.2252,60.8108,29.22,Low,False,False,True
Libya,LBY,2021,74.525079,11.064887,0.031230481,28.3,,78.3784,90.0901,91.4414,0.4505,60.8108,70.54,High,False,False,True
Saint Lucia,LCA,2021,0.485927,2.704837,0.0,11.3,,16.6667,48.1982,95.9459,8.5586,60.8108,45.99,Moderate,False,False,True
Liechtenstein,LIE,2021,0.15095,3.866656,,,,7.2072,57.2072,50.0,50.2252,60.8108,39.72,Moderate,True,True,True
Sri Lanka,LKA,2021,20.78091,0.954416,37.713936,3.5,-49.437771,61.2613,26.1261,35.5856,70.9459,100.0,53.14,Moderate,False,False,False
Lesotho,LSO,2021,2.282165,1.000312,100.0,1.8,,31.0811,27.027,0.9009,83.5586,60.8108,33.57,Low,False,False,True
Lithuania,LTU,2021,13.880837,4.981189,62.829735,6.0,42.414463,57.6577,68.4685,22.5225,34.4595,13.964,43.19,Moderate,False,False,False
Luxembourg,LUX,2021,8.354555,13.067857,80.4878,7.2,125.06548,49.0991,91.8919,12.1622,22.2973,0.4505,39.54,Moderate,False,False,False
Latvia,LVA,2021,7.266214,3.87755,63.589745,4.3,61.617077,45.9459,58.1081,21.6216,64.6396,11.2613,41.63,Moderate,False,False,False
Macao,MAC,2021,1.286771,1.874101,0.0,19.3,,25.2252,37.3874,95.9459,1.8018,60.8108,45.38,Moderate,False,False,True
